,loan_amnt,term,int_rate,installment,annual_inc,dti,revol_bal,total_acc
19589,30000.0, 36 months,11.22,985.29,122000.0,26.64,8534.0,24.0
2066,11500.0, 36 months,5.32,346.32,151000.0,18.99,11261.0,30.0
14228,17975.0, 36 months,13.18,607.21,86868.0,29.96,50072.0,41.0
12696,27000.0, 60 months,15.41,648.16,65400.0,20.88,41999.0,33.0
11111,12000.0, 60 months,28.49,377.19,40000.0,31.59,21703.0,28.0
2249,15000.0, 36 months,6.99,463.09,145000.0,17.98,6407.0,36.0
7958,22000.0, 36 months,5.32,662.53,140000.0,22.94,18526.0,62.0
5540,4500.0, 36 months,14.85,155.67,42000.0,14.3,4132.0,14.0
8245,10525.0, 36 months,15.41,366.97,34300.0,35.24,7168.0,38.0
8435,8500.0, 36 months,12.59,284.73,51300.0,29.05,24796.0,23.0
11638,10800.0, 60 months,18.2,275.43,44267.52,15.53,5618.0,16.0
2374,14000.0, 60 months,16.59,344.86,50000.0,31.11,11719.0,11.0
17139,10000.0, 60 months,13.18,228.46,65000.0,22.77,12053.0,15.0
12483,18000.0, 60 months,14.48,423.33,80000.0,26.58,22494.0,36.0
16904,16000.0, 60 months,14.48,376.29,60000.0,30.06,13056.0,26.0
1147,9000.0, 36 months,5.32,271.04,100000.0,18.16,8274.0,20.0
19351,8000.0, 36 months,7.26,247.97,50000.0,14.64,7353.0,13.0
15279,1000.0, 36 months,15.41,34.87,68000.0,15.23,3354.0,15.0
10551,14500.0, 60 months,18.99,376.06,33000.0,23.13,22316.0,14.0
6777,10000.0, 36 months,10.78,326.35,85000.0,11.65,1874.0,45.0
11184,9000.0, 36 months,14.48,309.71,25000.0,37.45,10082.0,41.0
10514,9600.0, 36 months,13.18,324.3,66000.0,14.35,6341.0,14.0
8620,20000.0, 36 months,8.38,630.24,80000.0,24.93,41318.0,29.0
21773,14400.0, 60 months,8.38,294.61,70000.0,11.02,14347.0,23.0
14407,15000.0, 36 months,9.17,478.19,50000.0,7.85,13599.0,19.0
8559,35000.0, 36 months,9.76,1125.42,115000.0,11.41,29789.0,32.0
10503,21000.0, 60 months,7.89,424.7,95000.0,22.28,21860.0,47.0
5264,35000.0, 60 months,20.5,937.06,190000.0,37.73,226350.0,27.0
12351,14750.0, 36 months,12.59,494.08,36882.0,30.82,6846.0,18.0
11041,22100.0, 60 months,17.57,556.04,47000.0,34.45,20897.0,42.0
11176,3125.0, 36 months,9.17,99.63,35000.0,15.36,2828.0,12.0
20930,1000.0, 36 months,16.55,35.43,62000.0,24.49,9911.0,17.0
20426,14925.0, 36 months,14.48,513.59,38916.11,21.74,5891.0,29.0
9064,9800.0, 36 months,18.49,356.71,46500.0,20.8,4445.0,20.0
811,8000.0, 36 months,10.78,261.08,43500.0,11.98,16344.0,24.0
15079,25000.0, 60 months,16.99,621.18,59000.0,36.79,13057.0,26.0
19293,15000.0, 36 months,10.64,488.53,108000.0,17.71,22801.0,14.0
17233,12000.0, 60 months,18.49,307.93,50000.0,13.51,5248.0,14.0
6661,20000.0, 60 months,16.59,492.66,70000.0,32.45,27379.0,29.0
5038,1500.0, 36 months,17.27,53.69,45000.0,20.4,4004.0,17.0
23802,7200.0, 36 months,9.17,229.53,40000.0,11.6,7983.0,22.0
19988,35000.0, 60 months,16.55,861.4,95000.0,22.08,9952.0,44.0
11132,19000.0, 60 months,9.17,395.98,90000.0,25.06,18259.0,68.0
6650,12000.0, 36 months,5.32,361.38,64400.0,2.45,3949.0,22.0
3818,22400.0, 60 months,19.48,587.01,70000.0,3.15,5001.0,16.0
18441,16000.0, 36 months,6.24,488.5,100000.0,10.63,17554.0,22.0
19030,30000.0, 60 months,17.57,754.81,80000.0,19.85,14240.0,39.0
18116,25000.0, 36 months,6.89,770.68,115000.0,19.61,35804.0,24.0
15197,16000.0, 60 months,13.67,369.57,85000.0,28.89,19354.0,12.0
18243,16900.0, 36 months,10.64,550.41,45000.0,24.32,14555.0,34.0
10140,9600.0, 36 months,23.99,376.59,32000.0,27.01,4281.0,19.0
7311,5000.0, 36 months,6.89,154.14,65000.0,33.4,20338.0,36.0
23586,18725.0, 36 months,8.38,590.07,37480.0,15.48,15992.0,24.0
9124,7750.0, 36 months,15.41,270.22,36000.0,39.77,4698.0,26.0
4929,35000.0, 36 months,13.99,1196.05,80000.0,13.21,27410.0,23.0
21141,31075.0, 60 months,14.48,730.82,62158.0,22.71,40026.0,18.0
23612,7200.0, 36 months,13.18,243.23,20000.0,6.06,1394.0,16.0
20071,7000.0, 36 months,11.22,229.91,40000.0,3.96,6598.0,9.0
410,20000.0, 36 months,8.49,631.26,70000.0,12.51,32224.0,4.0
2463,25000.0, 60 months,18.99,648.38,37856.0,23.17,9624.0,13.0
10909,12800.0, 36 months,6.24,390.8,220000.0,18.8,48632.0,16.0
10400,9000.0, 36 months,11.99,298.89,28500.0,25.26,2211.0,19.0
5500,1500.0, 36 months,13.44,50.86,96000.0,13.05,23586.0,25.0
1206,30000.0, 36 months,10.78,979.04,89775.0,21.44,51919.0,32.0
22324,10600.0, 36 months,5.32,319.22,24000.0,11.8,10688.0,15.0
8803,3600.0, 36 months,9.17,114.77,100000.0,21.35,13806.0,32.0
15696,15000.0, 36 months,11.99,498.15,48000.0,6.18,7122.0,14.0
11212,4000.0, 36 months,9.17,127.52,122450.0,26.87,18782.0,32.0
16907,20000.0, 36 months,9.76,643.1,60000.0,26.98,26287.0,51.0
7778,7000.0, 36 months,11.22,229.91,48000.0,1.2,1042.0,11.0
16527,4000.0, 36 months,15.41,139.47,15200.0,16.11,5352.0,12.0
3606,2075.0, 36 months,18.49,75.53,41545.0,5.03,1652.0,30.0
19540,8000.0, 36 months,6.89,246.62,73000.0,15.09,13223.0,10.0
12022,6500.0, 36 months,11.99,215.87,61000.0,4.56,10186.0,29.0
18222,10000.0, 36 months,14.48,344.12,100000.0,4.22,2955.0,12.0
9656,27000.0, 60 months,13.67,623.64,90000.0,18.11,25105.0,23.0
11422,2750.0, 36 months,21.99,105.01,19262.0,11.09,818.0,27.0
23353,3000.0, 36 months,7.26,92.99,128790.0,22.34,55703.0,37.0
6785,15400.0, 36 months,13.44,522.16,35000.0,12.69,16370.0,4.0
6488,18000.0, 60 months,14.85,426.81,70000.0,10.85,6810.0,22.0
6449,7000.0, 36 months,11.48,230.77,40000.0,27.87,4232.0,21.0
12698,10175.0, 36 months,13.18,343.72,46862.0,25.48,5709.0,34.0
15610,11000.0, 36 months,7.26,340.96,80000.0,12.35,3656.0,24.0
22245,9175.0, 36 months,13.67,312.12,54000.0,25.04,5321.0,19.0
7086,16800.0, 60 months,13.67,388.04,55000.0,16.98,18063.0,20.0
21003,10000.0, 36 months,6.24,305.31,31000.0,7.9,10327.0,9.0
4708,7200.0, 36 months,13.99,246.05,30000.0,18.28,2720.0,35.0
3455,11500.0, 36 months,7.91,359.9,65000.0,21.94,12932.0,23.0
21750,14400.0, 36 months,15.41,502.08,40000.0,27.12,3694.0,32.0
9575,19800.0, 60 months,17.57,498.17,45000.0,20.77,15658.0,20.0
11974,16000.0, 60 months,13.18,365.53,50000.0,24.89,12423.0,14.0
